CCLF File,CCLF Claim Field Label,Claim Field Name,Claim Field Description,FHIR R3 - Mapping,FHIR R3 Additional Info,FHIR R3 - See Also,Data Type,CCW SHORT SAS NAME,CCW LONG SAS NAME
CCLF1,CUR_CLM_UNIQ_ID,Current Claim Unique Identifier,A unique identification number assigned to the claim.,Not mapped,The values displayed for Current Claim Unique Identifier in CCLF files are unique to CCLF. There is no direct mapping of CUR_CLM_UNIQ_ID (CCLF) to FHIR ,,CHAR,CLM_ID,CLM_ID
CCLF1,PRVDR_OSCAR_NUM,Provider OSCAR Number,"A facility’s Medicare/Medicaid identification number. It is also known as a Medicare/Medicaid Provider Number, or CCN. This number verifies that a provider has been Medicare certified for a particular type of service.","Eob.provider.identifier.value
","identifier.system = ""https://bluebutton.cms.gov/resources/variables/prvdr_num""",,CHAR,PROVIDER,PRVDR_NUM
CCLF1,BENE_MBI_ID,Medicare Beneficiary Identifier,A Medicare Beneficiary Identifier assigned to a beneficiary.,"Patient.identifier[N].value

","Discriminator =  Patient.identifier[N].system = ""http://hl7.org/fhir/sid/us-mbi"" and Patient.extension[N].valueCoding.code = ""current""



Eob.patient.reference provides logical reference to the corresponding Patient resource (e.g. /Patient/123).  The identifer in the reference (e.g. ""123"") maps to Patient.id

","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,,
CCLF1,BENE_HIC_NUM,Beneficiary HIC Number,"A beneficiary identifier. The HICN that appears in this field is the beneficiary’s current HICN, not necessarily the HICN that was used to process the claim.",Not mapped,HICN is not provided,,CHAR,N/A,N/A
CCLF1,CLM_TYPE_CD,Claim Type Code,Signifies the type of claim being submitted through the Medicare or Medicaid programs. ,"Eob.type.coding[N].code
","Discriminator =  type.coding.system = ""https://bluebutton.cms.gov/resources/variables/nch_clm_type_cd""
OR
""https://bluebutton.cms.gov/resources/codesystem/eob-type""
OR
http://hl7.org/fhir/ex-claimtype



type.coding.display = {corresponding description from valueset specified in .system}","See https://bluebutton.cms.gov/resources/codesystem/eob-type/

For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,CLM_TYPE,NCH_CLM_TYPE_CD
CCLF1,CLM_FROM_DT,Claim From Date,"The first day on the billing statement that covers services rendered to the beneficiary. AKA ""Statement Covers From Date.""",Eob.billablePeriod.start,,,DATE,FROM_DT,CLM_FROM_DT
CCLF1,CLM_THRU_DT,Claim Thru Date,"The last day on the billing statement that covers services rendered to the beneficiary. AKA ""Statement Covers Through Date.""",Eob.billablePeriod.end,,,DATE,THRU_DT,CLM_THRU_DT
CCLF1,CLM_BILL_FAC_TYPE_CD,Claim Bill Facility Type Code,"The first digit of the type of bill (TOB1) is used to identify the type of facility that provided care to the beneficiary (e.g., hospital or SNF). ","Eob.facility.extension[N].valueCoding.code
","Discriminator =  Eob.facility.extension[N].url = ""https://bluebutton.cms.gov/resources/variables/clm_fac_type_cd""



valueCoding.sytem = ""https://bluebutton.cms.gov/resources/variables/clm_fac_type_cd""

valueCoding.display = {corresponding description from valueset specified in .system}

Extension definition can be found at: ""https://bluebutton.cms.gov/assets/ig/StructureDefinition-bluebutton-snf-clm-fac-type-cd-extension.html""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab

For information about extensions, see ""Extensions"" in the Glossary tab",CHAR,FAC_TYPE,CLM_FAC_TYPE_CD
CCLF1,CLM_BILL_CLSFCTN_CD,Claim Bill Classification Code,"The second digit of the type of bill (TOB2) is used to indicate with greater specificity where the service was provided (e.g., a department within a hospital). ","Eob.type.coding[N].code
","Discriminator =  type.coding.system = ""https://bluebutton.cms.gov/resources/variables/clm_srvc_clsfctn_type_cd""


","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,TYPESRVC,CLM_SRVC_CLSFCTN_TYPE_CD
CCLF1,PRNCPL_DGNS_CD,Principal Diagnosis Code,The ICD-9/10 diagnosis code identifies the beneficiary’s principal illness or disability.,Eob.diagnosis[N].diagnosisCodeableConcept.coding[X].code,"Discriminator =  Eob.diagnosis[N].type.coding.code = ""principal""

When DGNS_PRCDR_ICD_IND=""9"", coding[X].system = ""http://hl7.org/fhir/sid/icd-9-cm""

When DGNS_PRCDR_ICD_IND=""0"", coding[X].system = ""http://hl7.org/fhir/sid/icd-10-cm""

When DGNS_PRCDR_ICD_IND=""U"", coding[X].system = ""https://bluebutton.cms.gov/resources/codesystem/diagnosis-type"" 

","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,PRNCPAL_DGNS_CD,PRNCPAL_DGNS_CD
